"","X.1","X","term","year","instructor","dept","course.id","course.name","section","type","responses","enrollment","resp.rate","hrs.per.week","interst.in.student.learning","exp.goals","clarity","provide.feedback","importance","exp.subject","respect","overall.teaching","overall.course","id.name","year.term"
"840",840,840,"Fall","2016","NARASIMHAN, S. (co-taught)","ROB","16627","MSCV SEMINAR","A","Lect","17","24","71%","3.29","4.81","4.75","4.81","4.81","4.81","4.88","4.81","4.81","4.81","16627 - MSCV SEMINAR",10.8
"841",841,841,"Fall","2016","HEBERT, M. (co-taught)","ROB","16627","MSCV SEMINAR","A","Lect","17","24","71%","2","4.8","4.73","4.8","4.8","4.87","4.73","4.8","4.73","4.8","16627 - MSCV SEMINAR",10.8
"842",842,842,"Fall","2016","SHEIKH, Y. (co-taught)","ROB","16627","MSCV SEMINAR","A","Lect","17","24","71%","3.38","4.75","4.81","4.81","4.81","4.81","4.81","4.81","4.81","4.75","16627 - MSCV SEMINAR",10.8
"843",843,843,"Fall","2016","GUPTA, A. (co-taught)","ROB","16627","MSCV SEMINAR","A","Lect","17","24","71%","2","4.79","4.79","4.93","4.79","4.93","4.85","4.86","4.79","4.79","16627 - MSCV SEMINAR",10.8
"844",844,844,"Fall","2016","KITANI, K. (co-taught)","ROB","16627","MSCV SEMINAR","A","Lect","17","24","71%","2","4.8","4.73","4.8","4.8","4.73","4.87","4.87","4.8","4.73","16627 - MSCV SEMINAR",10.8
"845",845,845,"Fall","2016","LUCEY, S. (co-taught)","ROB","16627","MSCV SEMINAR","A","Lect","17","24","71%","2","4.8","4.73","4.8","4.73","4.73","4.73","4.67","4.73","4.73","16627 - MSCV SEMINAR",10.8
"846",846,846,"Fall","2016","RAMANAN, D. (co-taught)","ROB","16627","MSCV SEMINAR","A","Lect","17","24","71%","2","4.8","4.8","4.8","4.8","4.87","4.73","4.87","4.8","4.73","16627 - MSCV SEMINAR",10.8
"847",847,847,"Fall","2016","DE LA TORRE, F. (co-taught)","ROB","16627","MSCV SEMINAR","A","Lect","17","24","71%","2","4.8","4.73","4.8","4.8","4.87","4.73","4.8","4.73","4.8","16627 - MSCV SEMINAR",10.8
"848",848,848,"Fall","2016","KANTOR, G. (co-taught)","ROB","16642","MANPLTN MOBLY & CNTR","A","Lect","32","42","76%","8.8","4.16","4.19","4.25","3.5","4.13","4.19","4.34","4.06","3.91","16642 - MANPLTN MOBLY & CNTR",10.8
"849",849,849,"Fall","2016","GEYER, H. (co-taught)","ROB","16642","MANPLTN MOBLY & CNTR","A","Lect","32","42","76%","9.82","4.22","4.13","4.25","3.63","4.28","4.31","4.41","4.28","3.94","16642 - MANPLTN MOBLY & CNTR",10.8
"850",850,850,"Fall","2016","DIMITRIOS APOSTOLOPOULOS","ROB","16650","SYSTEMS ENGINEERING","A","Lect","34","42","81%","6.69","4.91","4.76","4.82","4.79","4.82","4.74","4.91","4.71","4.59","16650 - SYSTEMS ENGINEERING",10.8
"851",851,851,"Fall","2016","JOHN DOLAN","ROB","16681","MRSD PROJECT I","A","Lect","33","42","79%","16.77","4.33","4.52","4.24","4.5","4.24","4.33","4.76","4.3","4.39","16681 - MRSD PROJECT I",10.8
"852",852,852,"Fall","2016","DAVID BOURNE","ROB","16697","INTRO ROB BUSINESS","A","Lect","31","42","74%","4.36","3.55","2.9","3.06","3.2","3.45","3.32","3.9","3.32","3.03","16697 - INTRO ROB BUSINESS",10.8
"853",853,853,"Fall","2016","NARASIMHAN, S. (co-taught)","ROB","16720","COMPUTER VISION","A","Lect","101","138","73%","15.02","4.18","4.38","4.36","3.98","4.41","4.19","4.41","4.1","4.34","16720 - COMPUTER VISION",10.8
"854",854,854,"Fall","2016","SHEIKH, Y. (co-taught)","ROB","16720","COMPUTER VISION","A","Lect","101","138","73%","14.57","4.56","4.45","4.46","4.23","4.6","4.52","4.68","4.46","4.47","16720 - COMPUTER VISION",10.8
"855",855,855,"Fall","2016","MEL SIEGEL","ROB","16722","SENSING & SENSORS","A","Lect","17","23","74%","10.71","4.59","4.18","4.29","3.94","4.06","4.24","4.76","4.18","4.06","16722 - SENSING & SENSORS",10.8
"856",856,856,"Fall","2016","MATTHEW Mason","ROB","16741","MECH OF MANIPULATION","A","Lect","22","31","71%","8.29","4.55","4.27","4.45","4.27","4.5","4.32","4.77","4.36","4.32","16741 - MECH OF MANIPULATION",10.8
"857",857,857,"Fall","2016","MICHAEL ERDMANN","ROB","16811","MATH FUND FOR ROBOT","A","Lect","70","91","77%","13.61","4.86","4.86","4.79","4.6","4.7","4.73","4.87","4.76","4.71","16811 - MATH FUND FOR ROBOT",10.8
"858",858,858,"Fall","2016","MARTIAL HEBERT","ROB","16822","GMTRY BSD MTH IN VIS","B","Lect","39","51","76%","14.72","4.74","4.59","4.69","4.41","4.85","4.87","4.79","4.82","4.74","16822 - GMTRY BSD MTH IN VIS",10.8
"859",859,859,"Fall","2016","KITANI, K. (co-taught)","ROB","16831","STAT TECH IN ROBOTCS","A","Lect","32","53","60%","11.68","4.53","4.41","4.31","3.88","4.31","4.31","4.72","4.22","4.25","16831 - STAT TECH IN ROBOTCS",10.8
"860",860,860,"Fall","2016","KAESS, M. (co-taught)","ROB","16831","STAT TECH IN ROBOTCS","A","Lect","32","53","60%","11.58","4.44","4.38","4.31","4","4.66","4.44","4.72","4.34","4.34","16831 - STAT TECH IN ROBOTCS",10.8
"861",861,861,"Fall","2016","ADMONI, H. (co-taught)","ROB","16843","MANIPULATION ALGRTHM","A","Lect","10","20","50%","14.5","4.7","4.2","4.2","4.7","4.5","4.4","4.89","4.78","4.4","16843 - MANIPULATION ALGRTHM",10.8
"862",862,862,"Fall","2016","MUELLING, K. (co-taught)","ROB","16843","MANIPULATION ALGRTHM","A","Lect","10","20","50%","14.9","4.5","4.3","4.1","4.8","4.5","4.5","4.8","4.4","4.4","16843 - MANIPULATION ALGRTHM",10.8
"863",863,863,"Fall","2016","WILLIAM RED WHITTAKER","ROB","16861","MOBILE ROBOT DVLPMNT","A","Lect","22","24","92%","10.05","4.55","4.32","4.23","4.45","4.5","4.36","4.64","4.27","4.23","16861 - MOBILE ROBOT DVLPMNT",10.8
"864",864,864,"Fall","2016","HARTMUT GEYER","ROB","16868","BIOMCHC & MOTOR CNTL","A","Lect","22","30","73%","14.68","4.82","4.73","4.64","4.77","4.81","4.77","4.91","4.82","4.77","16868 - BIOMCHC & MOTOR CNTL",10.8
"865",865,865,"Fall","2016","ABHINAV GUPTA","ROB","16899","SPECIAL TOPICS","B","Lect","12","16","75%","12.75","5","5","5","4.92","4.92","4.92","5","4.92","4.83","16899 - SPECIAL TOPICS",10.8
"866",866,866,"Fall","2016","DEVA RAMANAN","ROB","16899","SPECIAL TOPICS","H","Lect","7","9","78%","13","5","4.71","5","4.86","5","5","4.86","5","4.86","16899 - SPECIAL TOPICS",10.8
"867",867,867,"Fall","2016","WILLIAM SCHERLIS","SE","17413","SFTWR ENGRNG RFLCTN","A","Lect","4","9","44%","2.75","4","3.75","4","4","4","4","4.5","4","3.75","17413 - SFTWR ENGRNG RFLCTN",10.8
"868",868,868,"Fall","2016","MANUEL ROSSO-LLOPART","SE","17602","INTRO PRSNL SFTWR PR","A1","Lect","9","26","35%","7.33","4.33","4.44","4.33","4","4.44","4.67","4.67","4.33","4","17602 - INTRO PRSNL SFTWR PR",10.8
"869",869,869,"Fall","2016","YASAR, H. (co-taught)","SE","17611","DEVOPS","A","Lect","11","11","100%","11.27","4.55","4.73","4.64","4.18","4.55","4.55","4.91","4.64","4.36","17611 - DEVOPS",10.8
"870",870,870,"Fall","2016","BASS, L. (co-taught)","SE","17611","DEVOPS","A","Lect","11","11","100%","11.27","4.55","4.73","4.64","4.27","4.55","4.55","4.91","4.64","4.36","17611 - DEVOPS",10.8
"871",871,871,"Fall","2016","MANUEL ROSSO-LLOPART","SE","17630","DTA STRC & ALGRM ENG","A","Lect","11","14","79%","10.73","4.55","4","4.36","4.36","4.45","4.2","4.55","4.5","4","17630 - DTA STRC & ALGRM ENG",10.8
"872",872,872,"Fall","2016","MANUEL ROSSO-LLOPART","SE","17630","DTA STRC & ALGRM ENG","D","Lect","5","5","100%","11.6","4.6","4","4.4","4.4","4.6","4.2","4.4","4.4","4","17630 - DTA STRC & ALGRM ENG",10.8
"873",873,873,"Fall","2016","MATTHEW BASS","SE","17648","ENG DAT INT SCAL SYS","A","Lect","8","12","67%","11.75","4.25","4","4.13","3.63","4.38","3.88","4.25","4.38","4.13","17648 - ENG DAT INT SCAL SYS",10.8
"874",874,874,"Fall","2016","DAVID GARLAN","SE","17651","MODELS SOFTWR SYSTMS","1","Lect","17","27","63%","12.06","4.47","4.35","4.41","4.35","4.35","4.41","4.65","4.35","4.35","17651 - MODELS SOFTWR SYSTMS",10.8
"875",875,875,"Fall","2016","DAWN MCLAUGHLIN","SE","17651","MODELS SOFTWR SYSTMS","D","Lect","1","4","25%","11","3","2","2","1","2","3","1","1","2","17651 - MODELS SOFTWR SYSTMS",10.8
"876",876,876,"Fall","2016","TRAVIS BREAUX","SE","17652","MTHDS DECIDE DESIGN","1","Lect","19","29","66%","14.47","3.47","3.16","3.53","3.58","3.47","3.67","3.68","3.42","3.26","17652 - MTHDS DECIDE DESIGN",10.8
"877",877,877,"Fall","2016","ANTONIO DAMASCENO","SE","17652","MTHDS DECIDE DESIGN","D","Lect","3","4","75%","8","4","4","4","4","4","4","4.67","3.67","4.33","17652 - MTHDS DECIDE DESIGN",10.8
"878",878,878,"Fall","2016","ROOT, D. (co-taught)","SE","17653","MANAGE SFTWR DVLPMT","A","Lect","22","35","63%","13","4.32","4.29","4.23","4","4.32","4.27","4.45","4.32","4.18","17653 - MANAGE SFTWR DVLPMT",10.8
"879",879,879,"Fall","2016","MIRANDA, E. (co-taught)","SE","17653","MANAGE SFTWR DVLPMT","A","Lect","22","35","63%","12.1","3.86","3.86","4.09","3.64","3.91","3.95","4","3.68","3.86","17653 - MANAGE SFTWR DVLPMT",10.8
"880",880,880,"Fall","2016","JEFFREY GENNARI","SE","17654","ANLYS SFTWR ARTIFACT","D","Lect","2","3","67%","19","4","4.5","4.5","4","4.5","3.5","4.5","4","3.5","17654 - ANLYS SFTWR ARTIFACT",10.8
"881",881,881,"Fall","2016","KOLENICH, P. (co-taught)","SE","17656","COMMNCTN SOFT ENGR I","A","Lect","4","9","44%","3.5","4","4","4.25","4.5","4","4.5","4.25","4","3.75","17656 - COMMNCTN SOFT ENGR I",10.8
"882",882,882,"Fall","2016","CIROLI, J. (co-taught)","SE","17656","COMMNCTN SOFT ENGR I","A","Lect","4","9","44%","3.5","4.5","4.25","4.5","4.75","4","4.5","4.5","4","3.75","17656 - COMMNCTN SOFT ENGR I",10.8
"883",883,883,"Fall","2016","THOMAS KEATING","SE","17656","COMMNCTN SOFT ENGR I","C","Lect","12","17","71%","3.36","4.75","4.58","4.58","4.67","4.5","4.42","4.75","4.64","4.5","17656 - COMMNCTN SOFT ENGR I",10.8
"884",884,884,"Fall","2016","DAVID ROOT","SE","17658","MITS SEMINAR I","A","Lect","8","13","62%","3.13","4.75","5","4.75","4.75","5","5","5","4.75","4.75","17658 - MITS SEMINAR I",10.8
"885",885,885,"Fall","2016","ROSSO-LLOPART, M. (co-taught)","SE","17673","SOFTWR DEV STUDO III","A","Lect","7","14","50%","20.14","4.43","4.14","4.33","4.57","4.43","4.71","4.71","4.71","4.57","17673 - SOFTWR DEV STUDO III",10.8
"886",886,886,"Fall","2016","LATTANZE, A. (co-taught)","SE","17673","SOFTWR DEV STUDO III","A","Lect","7","14","50%","20.14","4.29","4.29","4.29","4.71","4.43","4.71","4.14","4.43","4.43","17673 - SOFTWR DEV STUDO III",10.8
"887",887,887,"Fall","2016","ROOT, D. (co-taught)","SE","17673","SOFTWR DEV STUDO III","A","Lect","7","14","50%","21.67","4","4.14","4.14","4","4","3.86","4.14","3.86","4.14","17673 - SOFTWR DEV STUDO III",10.8
"888",888,888,"Fall","2016","BASS, M. (co-taught)","SE","17673","SOFTWR DEV STUDO III","A","Lect","7","14","50%","20.14","4.43","4.43","4.29","4","4.43","4.43","4.57","4","4.57","17673 - SOFTWR DEV STUDO III",10.8
"889",889,889,"Fall","2016","MIRANDA, E. (co-taught)","SE","17673","SOFTWR DEV STUDO III","A","Lect","7","14","50%","18.5","4.29","4.14","4.29","4.29","4.29","4.29","4.29","4.14","4.29","17673 - SOFTWR DEV STUDO III",10.8
"890",890,890,"Fall","2016","JAMES HERBSLEB","SE","17704","INFLN PERSN ONLINE","A2","Lect","6","10","60%","5.5","4.67","4.5","4.33","4.33","4.5","4.67","4.83","4.5","4.33","17704 - INFLN PERSN ONLINE",10.8
"891",891,891,"Fall","2016","SCHERLIS, W. (co-taught)","SE","17808","SOFTWARE ENGNG RESRC","A","Lect","2","3","67%","11","5","4.5","4","3.5","4.5","4.5","5","4.5","4.5","17808 - SOFTWARE ENGNG RESRC",10.8
"892",892,892,"Fall","2016","GARLAN, D. (co-taught)","SE","17808","SOFTWARE ENGNG RESRC","A","Lect","2","3","67%","12.5","5","4.5","4","4.5","4.5","4.5","5","4.5","4.5","17808 - SOFTWARE ENGNG RESRC",10.8
"893",893,893,"Fall","2016","HERBSLEB, J. (co-taught)","SE","17808","SOFTWARE ENGNG RESRC","A","Lect","2","3","67%","12.5","5","4.5","4","5","4.5","4.5","5","4.5","4.5","17808 - SOFTWARE ENGNG RESRC",10.8
"894",894,894,"Fall","2016","ALDRICH, J. (co-taught)","SE","17808","SOFTWARE ENGNG RESRC","A","Lect","2","3","67%","11","5","4.5","5","5","4.5","5","5","5","4.5","17808 - SOFTWARE ENGNG RESRC",10.8
"895",895,895,"Fall","2016","SHAW, M. (co-taught)","SE","17808","SOFTWARE ENGNG RESRC","A","Lect","2","3","67%","11","5","4.5","5","4.5","5","4.5","5","4.5","4.5","17808 - SOFTWARE ENGNG RESRC",10.8
"896",896,896,"Fall","2016","BREAUX, T. (co-taught)","SE","17808","SOFTWARE ENGNG RESRC","A","Lect","2","3","67%","11","5","4.5","4.5","3.5","4.5","4.5","5","4.5","4.5","17808 - SOFTWARE ENGNG RESRC",10.8
"897",897,897,"Fall","2016","KASTNER, C. (co-taught)","SE","17808","SOFTWARE ENGNG RESRC","A","Lect","2","3","67%","11","5","4.5","4.5","4.5","4.5","5","5","5","5","17808 - SOFTWARE ENGNG RESRC",10.8
"898",898,898,"Fall","2016","LE GOUES, C. (co-taught)","SE","17808","SOFTWARE ENGNG RESRC","A","Lect","2","3","67%","11","5","4.5","4.5","4.5","4.5","5","5","4.5","4.5","17808 - SOFTWARE ENGNG RESRC",10.8
"899",899,899,"Semester","year","instructor","dept","Course ID","course name","Section","type","Responses","Enrollment","Resp. Rate %","1: hrs per week 9","2: interest in student learning","3: explain course requirements","4: clear learning goals","5: instructor provides feedback to students","6: importance of subject","7: explains subject matter","8: show respect for students","9: overall teaching","10: overall course","Course ID - course name",11
"900",900,900,"","2015","","","","Year of 2015","","","16000","23808","67%","13.23","4.37","4.26","4.29","4.1","4.37","4.27","4.5","4.24","4.21"," - Year of 2015",9
"901",901,901,"Summer","2015","CAN KULTUR","CS","15110","PRINCPLS OF COMPUTNG","E","Lect","22","22","100%","18","4.5","3.86","4.14","4","4.41","4","4.81","3.86","4","15110 - PRINCPLS OF COMPUTNG",9.6
"902",902,902,"Summer","2015","CAN KULTUR","CS","15110","PRINCPLS OF COMPUTNG","U","Lect","10","12","83%","16.7","4.7","3.7","4","4.4","4.6","4","4.7","4.44","4.1","15110 - PRINCPLS OF COMPUTNG",9.6
"903",903,903,"Summer","2015","VICTOR ADAMCHIK","CS","15112","FNDMTLS OF PGMG & CS","E","Lect","28","55","51%","19.96","4","4.18","4.21","3.5","4.11","4.11","4.32","3.86","4.25","15112 - FNDMTLS OF PGMG & CS",9.6
"904",904,904,"Summer","2015","MARK STEHLIK","CS","15112","FNDMTLS OF PGMG & CS","S","Lect","18","45","40%","18.67","4.53","4.47","4.47","4.47","4.59","4.53","4.65","4.59","4.65","15112 - FNDMTLS OF PGMG & CS",9.6
"905",905,905,"Summer","2015","VICTOR ADAMCHIK","CS","15112","FNDMTLS OF PGMG & CS","U","Lect","9","28","32%","19.22","4.22","4.22","4.22","3.89","4.44","4.33","4.44","4.11","4","15112 - FNDMTLS OF PGMG & CS",9.6
"906",906,906,"Summer","2015","HOUDA BOUAMOR","CS","15112","FNDMTLS OF PGMG & CS","W","Lect","3","5","60%","14","4.67","5","5","4.67","5","5","5","4.67","5","15112 - FNDMTLS OF PGMG & CS",9.6
"907",907,907,"Summer","2015","VICTOR ADAMCHIK","CS","15122","PRIN IMPRTV COMPTATN","E","Lect","25","33","76%","19.84","4","4.24","4","3.36","4.16","4","4.16","4","4.32","15122 - PRIN IMPRTV COMPTATN",9.6
"908",908,908,"Summer","2015","ROBERT SIMMONS","CS","15122","PRIN IMPRTV COMPTATN","S","Lect","15","36","42%","21.57","4.67","4.6","4.6","4.47","4.73","4.71","4.87","4.6","4.53","15122 - PRIN IMPRTV COMPTATN",9.6
"909",909,909,"Summer","2015","VICTOR ADAMCHIK","CS","15122","PRIN IMPRTV COMPTATN","U","Lect","8","23","35%","21.5","3.38","3.13","3.38","2.88","4","3.5","3.63","2.86","3.14","15122 - PRIN IMPRTV COMPTATN",9.6
"910",910,910,"Summer","2015","NATHANIEL FILARDO","CS","15213","INTR CMPUTER SYSTEMS","M","Lect","7","17","41%","18.71","5","5","4.86","4.57","4.86","4.86","5","5","4.71","15213 - INTR CMPUTER SYSTEMS",9.6
"911",911,911,"Summer","2015","FILARDO, N. (co-taught)","CS","15213","INTR CMPUTER SYSTEMS","N","Lect","1","4","25%","8","5","5","5","3","4","5","5","5","5","15213 - INTR CMPUTER SYSTEMS",9.6
"912",912,912,"Summer","2015","THOMAS KEATING","CS","15221","TECHNCL COMMUNCTN CS","S","Lect","12","23","52%","9","4.92","4.92","4.92","4.75","4.83","4.92","4.92","4.92","4.83","15221 - TECHNCL COMMUNCTN CS",9.6
"913",913,913,"Summer","2015","KESDEN, G. (co-taught)","CS","15513","INTRO COMPUTER SYSTM","M","Lect","96","164","59%","17.04","4.39","4.44","4.51","4.33","4.41","4.52","4.55","4.46","4.57","15513 - INTRO COMPUTER SYSTM",9.6
"914",914,914,"Summer","2015","FILARDO, N. (co-taught)","CS","15513","INTRO COMPUTER SYSTM","M","Lect","96","164","59%","17.42","4.68","4.59","4.66","4.51","4.65","4.7","4.74","4.63","4.8","15513 - INTRO COMPUTER SYSTM",9.6
"915",915,915,"Summer","2015","BERNTSEN, K. (co-taught)","HCI","5672","HCI PROJECT II","M","Lect","24","60","40%","25.58","3.65","2.75","2.91","3.26","3.27","3.09","3.26","3.13","3.3","5672 - HCI PROJECT II",9.6
"916",916,916,"Summer","2015","HONG, J. (co-taught)","HCI","5672","HCI PROJECT II","M","Lect","24","60","40%","25.86","3.9","3.05","3.41","3.91","3.68","3.48","3.86","3.77","3.55","5672 - HCI PROJECT II",9.6
"917",917,917,"Summer","2015","BALLAY, L. (co-taught)","HCI","5672","HCI PROJECT II","M","Lect","24","60","40%","24.73","3.57","2.77","3.05","3.14","3.14","3.05","3.32","3.09","3.36","5672 - HCI PROJECT II",9.6
"918",918,918,"Summer","2015","KOEDINGER, K. (co-taught)","HCI","5682","METALS PROJECT 2","M","Lect","6","14","43%","24.83","4.5","4.33","4.33","4.5","4.17","4.17","5","4","4.5","5682 - METALS PROJECT 2",9.6
"919",919,919,"Summer","2015","STAMPER, J. (co-taught)","HCI","5682","METALS PROJECT 2","M","Lect","6","14","43%","24.83","3.67","3.83","3.5","3.33","3.5","3.5","4.5","3.33","3.83","5682 - METALS PROJECT 2",9.6
"920",920,920,"Summer","2015","JODI FORLIZZI","HCI","5897","SERVICE DESIGN","M5","Lect","6","13","46%","4.5","4.17","4","4","4","4","3.5","4.67","4","3.5","5897 - SERVICE DESIGN",9.6
"921",921,921,"Summer","2015","SADEH, N. (co-taught)","ISR","8606","PRVY DES PRJ WRKSHP","M","Lect","3","5","60%","14.33","4","4.33","3.67","4","4.33","4","3.67","4","4.33","8606 - PRVY DES PRJ WRKSHP",9.6
"922",922,922,"Summer","2015","CRANOR, L. (co-taught)","ISR","8606","PRVY DES PRJ WRKSHP","M","Lect","3","5","60%","14.33","5","4.67","4.33","4.67","5","4.67","4.33","4.67","5","8606 - PRVY DES PRJ WRKSHP",9.6
"923",923,923,"Summer","2015","LORRIE CRANOR","ISR","8709","PRIVACY TECHNOLOGY","Q5","Lect","5","17","29%","18.25","5","5","4.8","5","4.8","5","5","5","5","8709 - PRIVACY TECHNOLOGY",9.6
"924",924,924,"Summer","2015","ROBERT THIBADEAU","ISR","8712","INFORMATION SECURITY","Q5","Lect","2","12","17%","17.5","5","5","5","5","5","5","5","5","5","8712 - INFORMATION SECURITY",9.6
"925",925,925,"Summer","2015","MICHAEL SHAMOS","ISR","8715","E PAYMENT","Q5","Lect","2","12","17%","19","5","5","5","5","5","5","5","5","5","8715 - E PAYMENT",9.6
"926",926,926,"Summer","2015","SUJATA TELANG","ISR","8721","EBUSINESS DISASTERS","M5","Lect","10","13","77%","9.2","5","4.6","4.7","4.4","4.5","4.4","4.9","4.8","4.6","8721 - EBUSINESS DISASTERS",9.6
"927",927,927,"Summer","2015","SAE YOUNG JEONG","ISR","8723","MBL APPLCTN DVLP AND","M","Lect","33","45","73%","15.76","4.42","4.03","4.39","4.3","4.24","4.12","4.67","4.03","4.27","8723 - MBL APPLCTN DVLP AND",9.6
"928",928,928,"Summer","2015","JAMES HERBSLEB","ISR","8997","COS GRAD READ RSRCH","R","Lect","3","13","23%","21.67","5","5","5","5","5","5","5","5","5","8997 - COS GRAD READ RSRCH",9.6
"929",929,929,"Summer","2015","JAMES CALLAN","LTI","11935","LTI PRACTICUM","M","Lect","3","13","23%","27","5","5","5","5","5","5","5","5","5","11935 - LTI PRACTICUM",9.6
"930",930,930,"Summer","2015","MANUEL ROSSO-LLOPART","SE","17602","INTRO PRSNL SFTWR PR","O5","Lect","1","3","33%","11","5","5","5","4","4","5","5","4","3","17602 - INTRO PRSNL SFTWR PR",9.6
"931",931,931,"Summer","2015","SHERAE DANIEL","SE","17624","OPEN SOURCE SOFTWRE","M5","Lect","10","10","100%","7.7","4.7","4.6","4.3","4.2","4.3","4.4","4.9","4.5","4.2","17624 - OPEN SOURCE SOFTWRE",9.6
"932",932,932,"Summer","2015","JOSE MORALES","SE","17632","ENG RUN TIME MALWARE","M","Lect","4","5","80%","16.5","4.25","3.75","4","4.5","4.25","3.75","4.25","3.75","3.5","17632 - ENG RUN TIME MALWARE",9.6
"933",933,933,"Summer","2015","MICHAEL KEELING","SE","17638","SYS ARCH FOR MANAGRS","O6","Lect","2","8","25%","17.5","4.5","5","5","5","4.5","4.5","4.5","4","3.5","17638 - SYS ARCH FOR MANAGRS",9.6
"934",934,934,"Summer","2015","VIJAY VADLAMUDI","SE","17646","BUSINESS FOR ENGRS","M","Lect","15","22","68%","9.2","4.73","4.6","4.47","4.8","4.73","4.53","4.93","4.53","4.53","17646 - BUSINESS FOR ENGRS",9.6
"935",935,935,"Summer","2015","DEBRA GREENHALGH LUBAS","SE","17652","MTHDS DECIDE DESIGN","O","Lect","4","5","80%","8.75","4.75","4","4.25","4.75","4.25","4.25","5","4.5","4","17652 - MTHDS DECIDE DESIGN",9.6
"936",936,936,"Summer","2015","DAVID ROOT","SE","17653","MANAGE SFTWR DVLPMT","O","Lect","1","3","33%","17","5","5","5","5","5","5","5","5","4","17653 - MANAGE SFTWR DVLPMT",9.6
"937",937,937,"Summer","2015","ROSSO-LLOPART, M. (co-taught)","SE","17673","SOFTWR DEV STUDO III","M","Lect","5","17","29%","27","4.25","4","4.25","4.25","4","3.75","4.5","4.25","4","17673 - SOFTWR DEV STUDO III",9.6
"938",938,938,"Summer","2015","ROOT, D. (co-taught)","SE","17673","SOFTWR DEV STUDO III","M","Lect","5","17","29%","27","4.67","4.67","4.67","4.67","4.67","4.67","4.67","4.67","4.67","17673 - SOFTWR DEV STUDO III",9.6
"939",939,939,"Summer","2015","BASS, M. (co-taught)","SE","17673","SOFTWR DEV STUDO III","M","Lect","5","17","29%","27","3.67","4","3.67","4","4","4","4","4","4","17673 - SOFTWR DEV STUDO III",9.6
"940",940,940,"Summer","2015","MIRANDA, E. (co-taught)","SE","17673","SOFTWR DEV STUDO III","M","Lect","5","17","29%","27","4.25","4","4","4.75","4","4","4.5","4","4","17673 - SOFTWR DEV STUDO III",9.6
"941",941,941,"Summer","2015","ROSSO-LLOPART, M. (co-taught)","SE","17678","MSIT PROJECT II","O","Lect","9","19","47%","21.56","4.67","4.56","4.89","4.89","4.89","4.89","5","4.78","4.89","17678 - MSIT PROJECT II",9.6
"942",942,942,"Summer","2015","ROOT, D. (co-taught)","SE","17678","MSIT PROJECT II","O","Lect","9","19","47%","20.86","4.43","4.29","4.43","4.29","4.43","4.29","4.29","4.43","4.43","17678 - MSIT PROJECT II",9.6
"943",943,943,"Summer","2015","BASS, M. (co-taught)","SE","17678","MSIT PROJECT II","O","Lect","9","19","47%","20.86","4.43","4.43","4.43","4.43","4.43","4.57","4.57","4.57","4.57","17678 - MSIT PROJECT II",9.6
"944",944,944,"Summer","2015","JAMES ROZUM","SE","17691","SOFTWARE DEVPT TOOLS","M6","Lect","5","8","63%","5.6","4.2","4.4","4.4","4.2","4.2","4.4","4.6","4.4","4","17691 - SOFTWARE DEVPT TOOLS",9.6
"945",945,945,"Spring","2015","SCHWARTZ, R. (co-taught)","CB","2250","INTRO TO COMP BIO","1","Lect","3","6","50%","6","4.33","4.33","4.33","4","4.67","4.33","4.33","4.33","4.33","2250 - INTRO TO COMP BIO",9.1
"946",946,946,"Spring","2015","Murphy, R. (co-taught)","CB","2250","INTRO TO COMP BIO","1","Lect","3","6","50%","8","4.33","4","4.33","4","4.33","4","4","4","4","2250 - INTRO TO COMP BIO",9.1
"947",947,947,"Spring","2015","ZIV BAR-JOSEPH","CB","2510","COMPUTATNL GENOMICS","A","Lect","3","5","60%","7","4.33","3.67","4.67","4.67","4.33","4","4.33","4","4","2510 - COMPUTATNL GENOMICS",9.1
"948",948,948,"Spring","2015","THICKMAN, K. (co-taught)","CB","2602","PROF ISSUES COMP BIO","A","Lect","7","14","50%","5.57","4.14","4.14","4.14","4.29","4.14","4","4.29","4","3.57","2602 - PROF ISSUES COMP BIO",9.1
"949",949,949,"Spring","2015","SUBRAMANIAN, S. (co-taught)","CB","2602","PROF ISSUES COMP BIO","A","Lect","7","14","50%","6.17","4.14","4.14","4.14","4.29","4.14","4","4.29","4","3.71","2602 - PROF ISSUES COMP BIO",9.1
"950",950,950,"Spring","2015","ZIV BAR-JOSEPH","CB","2710","COMPUTATNL GENOMICS","A","Lect","9","15","60%","13.44","3.78","3.78","3.67","3.33","3.67","3.56","3.78","3.67","3.56","2710 - COMPUTATNL GENOMICS",9.1
"951",951,951,"Spring","2015","GE YANG","CB","2740","BIOIMAGE INFORMATICS","A","Lect","9","16","56%","12.78","4.5","4.22","4","3.89","4.33","4.11","4.56","4.11","3.67","2740 - BIOIMAGE INFORMATICS",9.1
"952",952,952,"Spring","2015","THICKMAN, K. (co-taught)","CB","2760","LAB METHODS COMP BIO","A","Lect","2","6","33%","9.5","5","3.5","4","4.5","4.5","4","5","4.5","3.5","2760 - LAB METHODS COMP BIO",9.1
"953",953,953,"Spring","2015","Ayoob, J. (co-taught)","CB","2760","LAB METHODS COMP BIO","A","Lect","2","6","33%","9.5","5","3.5","4","4.5","4.5","4.5","4.5","4.5","3.5","2760 - LAB METHODS COMP BIO",9.1
