91	91	Fall	2011	RUSSELL SCHWARTZ	CB	2712	CMPL MTHD BIO MDL SM	A	Lect	2	9	22%	12.5	4.5	5	5	3.5	4	4	5	4	4	2011.8	02712 - CMPL MTHD BIO MDL SM
92	92	Fall	2010	RUSSELL SCHWARTZ	CB	2712	CMPL MTHD BIO MDL SM	A	Lect	5	8	63%	12.2	3.8	4.2	4.4	4.2	4.4	4.2	5	3.8	4.2	2010.8	02712 - CMPL MTHD BIO MDL SM
93	93	Fall	2012	RUSSELL SCHWARTZ	CB	2712	CMPL MTHD BIO MDL SM	A	Lect	7	11	64%	12	4.86	4.71	4.71	4.86	4.57	5	4.86	4.71	4.86	2012.8	02712 - CMPL MTHD BIO MDL SM
94	94	Fall	2016	RUSSELL SCHWARTZ	CB	2712	CMPL MTHD BIO MDL SM	A	Lect	12	19	63%	11.67	4.17	4.25	4.17	4	4	3.83	4.42	4.17	4	2016.8	02712 - CMPL MTHD BIO MDL SM
95	95	Spring	2014	CARLETON KINGSFORD	CB	2713	ALGTHM & DATA STRUCT	A	Lect	61	76	80%	10.59	4.1	4.18	4.32	3.8	4.23	4.24	4.42	4.08	4.12	2014.1	02713 - ALGTHM & DATA STRUCT
96	96	Spring	2013	CARLETON KINGSFORD	CB	2713	ALGTHM & DATA STRUCT	A	Lect	43	58	74%	9	4.12	4.4	4.35	4.19	4.35	4.3	4.44	4.19	4.3	2013.1	02713 - ALGTHM & DATA STRUCT
97	97	Spring	2013	SE YOUNG KIM	CB	2715	ADV TPC COMPTNL GENM	A	Lect	3	3	100%	7	4.67	4.67	4.67	4.33	4.67	5	5	5	5	2013.1	02715 - ADV TPC COMPTNL GENM
98	98	Fall	2011	SE YOUNG KIM	CB	2715	ADV TPC COMPTNL GENM	A	Lect	2	3	67%	5	5	5	5	4.5	4.5	5	5	5	5	2011.8	02715 - ADV TPC COMPTNL GENM
99	99	Fall	2011	ZIV BAR-JOSEPH	CB	2716	CRS-SPECS SYS MODLG	A	Lect	4	5	80%	8	4.75	4.75	4.75	5	4.75	4.5	4.5	4.75	4.5	2011.8	02716 - CRS-SPECS SYS MODLG
100	100	Spring	2016	ZIV BAR-JOSEPH	CB	2717	ALGORITHMS IN NATURE	A	Lect	2	5	40%	6.5	5	5	5	4	4.5	4.5	4.5	4.5	4	2016.1	02717 - ALGORITHMS IN NATURE
