"","term","year","instructor","dept","course.id","course.name","section","type","responses","enrollment","resp.rate","hrs.per.week","interst.in.student.learning","exp.goals","clarity","provide.feedback","importance","exp.subject","respect","overall.teaching","overall.course","id.name","year.term"
"6542","Spring","2012","BENJAMIN OPIE","MUS","57847","ELCTR & CMPT MUSIC","A","Lect","2","3","67%","5","5","5","5","5","5","5","5","5","5","57847 - ELCTR & CMPT MUSIC","57847 Spring"
"6543","Spring","2012","LEWIS STROUSE","MUS","57862","WOODWIND METHODS","A","Lect","1","2","50%","5","5","5","5","5","5","5","5","5","5","57862 - WOODWIND METHODS","57862 Spring"
"6544","Spring","2012","LINDA SILVER","MUS","57863","STRING METHODS","A","Lect","2","3","67%","8","5","5","5","5","5","5","5","5","5","57863 - STRING METHODS","57863 Spring"
"6545","Spring","2012","SERGEY SCHEPKIN","MUS","57884","LIT & REP PIANO IV","A","Lect","6","11","55%","7","4.67","4.67","4.67","4.5","4.33","4.33","4.33","4.5","4.5","57884 - LIT & REP PIANO IV","57884 Spring"
"6546","Spring","2012","DOUGLAS, T. (co-taught)","MUS","57888","INSTR/CHOR CONDUCT","A","Lect","1","3","33%","2","4","5","5","5","5","5","3","4","4","57888 - INSTR/CHOR CONDUCT","57888 Spring"
"6547","Spring","2012","COLWELL, D. (co-taught)","MUS","57888","INSTR/CHOR CONDUCT","A","Lect","1","3","33%","2","5","5","5","5","5","5","5","5","5","57888 - INSTR/CHOR CONDUCT","57888 Spring"
"6548","Spring","2012","DOUGLAS, T. (co-taught)","MUS","57888","INSTR/CHOR CONDUCT","B","Lect","2","2","100%","2","4","4","5","3","3.5","4","3","4","4.5","57888 - INSTR/CHOR CONDUCT","57888 Spring"
"6549","Spring","2012","COLWELL, D. (co-taught)","MUS","57888","INSTR/CHOR CONDUCT","B","Lect","2","2","100%","2","5","5","5","5","5","5","5","5","5","57888 - INSTR/CHOR CONDUCT","57888 Spring"
"6550","Spring","2012","ANDREW CARLISLE","MUS","57900","BAGPIPE & DRUM BAND","A","Lect","1","3","33%","5","4","3","4","5","5","5","4","5","5","57900 - BAGPIPE & DRUM BAND","57900 Spring"
"6551","Spring","2012","RONALD ZOLLMAN","MUS","57923","REPERTOIRE ORCHSTRA","A","Lect","4","11","36%","2.75","4.5","4.5","4.75","4.75","4.75","4.5","4.75","4.75","4.75","57923 - REPERTOIRE ORCHSTRA","57923 Spring"
"6552","Spring","2012","GRETCHEN VAN HOESEN","MUS","57928","CHAMBER MUSIC","A4","Lect","2","2","100%","8","5","5","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6553","Spring","2012","R. JAMES WHIPPLE","MUS","57928","CHAMBER MUSIC","B4","Lect","1","3","33%","2","4","4","4","4","4","4","4","4","4","57928 - CHAMBER MUSIC","57928 Spring"
"6554","Spring","2012","JAMES FERLA","MUS","57928","CHAMBER MUSIC","D4","Lect","1","2","50%","5","5","5","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6555","Spring","2012","THOMAS GODFREY","MUS","57928","CHAMBER MUSIC","E4","Lect","1","2","50%","2","5","5","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6556","Spring","2012","ALMARZA, A. (co-taught)","MUS","57928","CHAMBER MUSIC","F4","Lect","2","5","40%","8","5","4.5","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6557","Spring","2012","EVANS, P. (co-taught)","MUS","57928","CHAMBER MUSIC","F4","Lect","2","5","40%","8","5","4.5","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6558","Spring","2012","VAHAN SARGSYAN","MUS","57928","CHAMBER MUSIC","H4","Lect","1","3","33%","5","5","5","4","5","4","4","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6559","Spring","2012","CHRISTOPHER WU","MUS","57928","CHAMBER MUSIC","I4","Lect","1","2","50%","2","4","4","4","4","4","4","4","4","4","57928 - CHAMBER MUSIC","57928 Spring"
"6560","Spring","2012","ALMARZA, A. (co-taught)","MUS","57928","CHAMBER MUSIC","M4","Lect","1","4","25%","14","5","4","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6561","Spring","2012","EVANS, P. (co-taught)","MUS","57928","CHAMBER MUSIC","M4","Lect","1","4","25%","14","5","4","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6562","Spring","2012","VAHAN SARGSYAN","MUS","57928","CHAMBER MUSIC","O4","Lect","2","3","67%","5","5","5","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6563","Spring","2012","R. JAMES WHIPPLE","MUS","57928","CHAMBER MUSIC","P4","Lect","2","5","40%","5","5","5","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6564","Spring","2012","GOERES, N. (co-taught)","MUS","57928","CHAMBER MUSIC","Y4","Lect","3","6","50%","2","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","57928 - CHAMBER MUSIC","57928 Spring"
"6565","Spring","2012","BELL, S. (co-taught)","MUS","57928","CHAMBER MUSIC","Y4","Lect","3","6","50%","3","5","5","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6566","Spring","2012","JAMES FERLA","MUS","57928","CHAMBER MUSIC","Z4","Lect","1","2","50%","5","5","5","5","5","5","5","5","5","5","57928 - CHAMBER MUSIC","57928 Spring"
"6567","Spring","2012","NEAL BERNTSEN","MUS","57929","CHAMBER MUSIC","A4","Lect","1","5","20%","5","5","5","5","5","5","5","5","5","5","57929 - CHAMBER MUSIC","57929 Spring"
"6568","Spring","2012","PETER SULLIVAN","MUS","57929","CHAMBER MUSIC","G4","Lect","1","4","25%","5","5","5","5","5","5","5","5","5","5","57929 - CHAMBER MUSIC","57929 Spring"
"6569","Spring","2012","STEPHEN KOSTYNIAK","MUS","57929","CHAMBER MUSIC","I4","Lect","1","2","50%","5","5","5","5","5","5","5","5","5","5","57929 - CHAMBER MUSIC","57929 Spring"
"6570","Spring","2012","DEALMEIDA, C. (co-taught)","MUS","57929","CHAMBER MUSIC","L4","Lect","1","3","33%","2","3","3","3","3","3","3","3","3","1","57929 - CHAMBER MUSIC","57929 Spring"
"6571","Spring","2012","GOERES, N. (co-taught)","MUS","57929","CHAMBER MUSIC","L4","Lect","1","3","33%","2","3","3","3","3","3","3","3","3","1","57929 - CHAMBER MUSIC","57929 Spring"
"6572","Spring","2012","GODFREY, T. (co-taught)","MUS","57929","CHAMBER MUSIC","R4","Lect","2","2","100%","5","5","5","5","5","5","5","5","5","5","57929 - CHAMBER MUSIC","57929 Spring"
"6573","Spring","2012","SARGSYAN, V. (co-taught)","MUS","57929","CHAMBER MUSIC","R4","Lect","2","2","100%","5","5","5","5","5","5","5","5","5","5","57929 - CHAMBER MUSIC","57929 Spring"
"6574","Spring","2012","THOMAS THOMPSON","MUS","57929","CHAMBER MUSIC","U4","Lect","2","3","67%","3.5","4","4","4","4","4","4","4","4","4","57929 - CHAMBER MUSIC","57929 Spring"
"6575","Spring","2012","ENRIQUE GRAF","MUS","57929","CHAMBER MUSIC","V4","Lect","1","2","50%","2","4","4","4","4","4","4","4","4","4","57929 - CHAMBER MUSIC","57929 Spring"
"6576","Spring","2012","CHRISTOPHER WU","MUS","57929","CHAMBER MUSIC","Y4","Lect","2","2","100%","9.5","5","5","5","5","5","5","5","5","5","57929 - CHAMBER MUSIC","57929 Spring"
"6577","Spring","2012","STEPHEN SCHULTZ","MUS","57930","BAROQUE ENSEMBLE","A","Lect","9","22","41%","4","4.67","4.44","4.56","4.44","4.56","4.56","4.56","4.67","4.67","57930 - BAROQUE ENSEMBLE","57930 Spring"
"6578","Spring","2012","MARCINIZYN, J. (co-taught)","MUS","57932","CHAMBER MUSIC GUITAR","A","Lect","1","2","50%","5","5","5","5","5","5","5","5","5","5","57932 - CHAMBER MUSIC GUITAR","57932 Spring"
"6579","Spring","2012","FERLA, J. (co-taught)","MUS","57932","CHAMBER MUSIC GUITAR","A","Lect","1","2","50%","5","5","5","5","5","5","5","5","5","5","57932 - CHAMBER MUSIC GUITAR","57932 Spring"
"6580","Spring","2012","LUZ MANRIQUEZ","MUS","57933","SONATAS","A","Lect","2","2","100%","6.5","5","4.5","4.5","5","5","4.5","5","4.5","4.5","57933 - SONATAS","57933 Spring"
"6581","Spring","2012","SCHULTZ, S. (co-taught)","MUS","57933","SONATAS","B","Lect","2","4","50%","8","5","4.5","5","5","5","5","5","5","5","57933 - SONATAS","57933 Spring"
"6582","Spring","2012","SARGSYAN, V. (co-taught)","MUS","57933","SONATAS","B","Lect","2","4","50%","5","5","5","5","5","5","5","5","5","5","57933 - SONATAS","57933 Spring"
"6583","Spring","2012","MARILYN THOMAS","MUS","57934","ADV ANALYTCL TECHNQE","A","Lect","10","19","53%","5.3","4.8","4.8","4.8","4.7","4.8","4.8","4.8","4.8","4.8","57934 - ADV ANALYTCL TECHNQE","57934 Spring"
"6584","Spring","2012","MARILYN THOMAS","MUS","57934","ADV ANALYTCL TECHNQE","B","Lect","7","19","37%","6.29","4.71","4.71","4.71","4.71","4.71","4.71","4.57","4.71","4.57","57934 - ADV ANALYTCL TECHNQE","57934 Spring"
"6585","Spring","2012","JOHN ITO","MUS","57954","SHAPING TIME IN PERF","A","Lect","8","13","62%","5.38","3.75","2.88","3","3.38","3.13","3.5","4.38","3.5","3.38","57954 - SHAPING TIME IN PERF","57954 Spring"
"6586","Spring","2012","MAHMOOD-REZA VALI","MUS","57965","REPERTOIRE ANALYSIS","B","Lect","1","2","50%","","5","5","5","5","5","5","5","5","5","57965 - REPERTOIRE ANALYSIS","57965 Spring"
"6587","Spring","2012","NANCY GALBRAITH","MUS","57969","SCORE RDING KYBD HMY","A","Lect","6","8","75%","4.5","4.67","4.67","4.67","4.67","4.67","4.67","4.67","4.5","4.5","57969 - SCORE RDING KYBD HMY","57969 Spring"
"6588","Spring","2012","NANCY GALBRAITH","MUS","57969","SCORE RDING KYBD HMY","B","Lect","4","6","67%","6","5","5","5","5","5","5","5","5","5","57969 - SCORE RDING KYBD HMY","57969 Spring"
"6589","Spring","2012","HANNA LI","MUS","57974","PIANO PEDAGOGY II","A","Lect","3","5","60%","4","4","4.33","4.33","4.33","4.33","4","4","4.33","4.33","57974 - PIANO PEDAGOGY II","57974 Spring"
"6590","Spring","2012","HANNA LI","MUS","57976","PIANO PEDAGOGY IV","A","Lect","2","6","33%","6.5","4","4","4","4","4","4","4","4","4","57976 - PIANO PEDAGOGY IV","57976 Spring"
"6591","Spring","2012","DEALMEIDA, C. (co-taught)","MUS","57986","ADV MSC STDS STD0","A","Lect","2","5","40%","14","5","5","5","5","5","5","5","5","5","57986 - ADV MSC STDS STD0","57986 Spring"
"6592","Spring","2012","ALMARZA, A. (co-taught)","MUS","57986","ADV MSC STDS STD0","A","Lect","2","5","40%","14","5","5","5","5","5","5","5","5","5","57986 - ADV MSC STDS STD0","57986 Spring"
"6593","Spring","2012","POSVAR, M. (co-taught)","MUS","57986","ADV MSC STDS STD0","A","Lect","2","5","40%","11","5","5","5","5","5","5","5","5","5","57986 - ADV MSC STDS STD0","57986 Spring"
"6594","Spring","2012","CARDENES, A. (co-taught)","MUS","57986","ADV MSC STDS STD0","A","Lect","2","5","40%","14","5","5","5","5","5","5","5","5","5","57986 - ADV MSC STDS STD0","57986 Spring"
"6595","Spring","2012","RUSINEK, M. (co-taught)","MUS","57986","ADV MSC STDS STD0","A","Lect","2","5","40%","14","5","5","5","5","5","5","5","5","5","57986 - ADV MSC STDS STD0","57986 Spring"
"6596","Spring","2012","CABALLERO, W. (co-taught)","MUS","57986","ADV MSC STDS STD0","A","Lect","2","5","40%","14","5","5","5","5","5","5","5","5","5","57986 - ADV MSC STDS STD0","57986 Spring"
"6597","Fall","2012","LYONS, . (co-taught)","ARC","48025","FRST YR SEM:ARCH EDT","A1","Lect","59","65","91%","2.98","4.49","4.2","4.29","3.86","4.24","4.24","4.58","4.03","3.59","48025 - FRST YR SEM:ARCH EDT","48025 Fall"
"6598","Fall","2012","WORKINGER, H. (co-taught)","ARC","48025","FRST YR SEM:ARCH EDT","A1","Lect","59","65","91%","2.86","4.63","4.25","4.37","4.05","4.32","4.39","4.61","4.34","3.71","48025 - FRST YR SEM:ARCH EDT","48025 Fall"
"6599","Fall","2012","LISA WOLFF","ARC","48095","SPTL CNCP NON-ARCTSI","A","Lect","1","7","14%","11","5","5","5","5","5","5","5","5","5","48095 - SPTL CNCP NON-ARCTSI","48095 Fall"
"6600","Fall","2012","GERARD DAMIANI","ARC","48100","ARCH DESIGN STUDIO","1","Lect","48","65","74%","12.96","4.6","4.43","4.64","4.31","4.64","4.42","4.69","4.52","4.58","48100 - ARCH DESIGN STUDIO","48100 Fall"
"6601","Fall","2012","CALISTI, L. (co-taught)","ARC","48100","ARCH DESIGN STUDIO","A","Lect","19","23","83%","13.68","4.74","4.58","4.68","4.68","4.79","4.84","4.89","4.84","4.74","48100 - ARCH DESIGN STUDIO","48100 Fall"
"6602","Fall","2012","FICCA, D. (co-taught)","ARC","48100","ARCH DESIGN STUDIO","A","Lect","19","23","83%","13.67","4.84","4.42","4.47","4.58","4.74","4.74","4.95","4.68","4.79","48100 - ARCH DESIGN STUDIO","48100 Fall"
"6603","Fall","2012","CROCE, A. (co-taught)","ARC","48100","ARCH DESIGN STUDIO","B","Lect","14","21","67%","13.36","4.71","4.43","4.64","4.64","4.71","4.57","4.71","4.57","4.71","48100 - ARCH DESIGN STUDIO","48100 Fall"
"6604","Fall","2012","KACHNIASZ, J. (co-taught)","ARC","48100","ARCH DESIGN STUDIO","B","Lect","14","21","67%","13.36","4.36","4.21","4.36","4.29","4.43","4.36","4.79","4.29","4.71","48100 - ARCH DESIGN STUDIO","48100 Fall"
"6605","Fall","2012","SUHRBIER, K. (co-taught)","ARC","48100","ARCH DESIGN STUDIO","C","Lect","13","21","62%","14","4.92","4.58","4.85","4.85","4.77","4.77","4.77","4.85","4.69","48100 - ARCH DESIGN STUDIO","48100 Fall"
"6606","Fall","2012","DILER, O. (co-taught)","ARC","48100","ARCH DESIGN STUDIO","C","Lect","13","21","62%","14","4.85","4.69","4.69","4.77","4.85","4.69","4.92","4.69","4.62","48100 - ARCH DESIGN STUDIO","48100 Fall"
"6607","Fall","2012","KHEE POH LAM","ARC","48116","BUILDING PHYSICS","A","Lect","46","65","71%","5.55","4.54","4.63","4.61","4.15","4.5","4.48","4.72","4.59","4.42","48116 - BUILDING PHYSICS","48116 Fall"
"6608","Fall","2012","mgannon, . (co-taught)","ARC","48120","INTRO DGITAL MEDIA I","1","Lect","51","70","73%","6.71","4.1","3.78","3.9","3.55","4.06","3.9","4.2","3.71","3.76","48120 - INTRO DGITAL MEDIA I","48120 Fall"
"6609","Fall","2012","BROCKMEYER, E. (co-taught)","ARC","48120","INTRO DGITAL MEDIA I","1","Lect","51","70","73%","6.94","4.06","3.86","3.9","3.67","4.02","3.94","4.41","3.86","3.84","48120 - INTRO DGITAL MEDIA I","48120 Fall"
"6610","Fall","2012","WILLIAM COOPER","ARC","48130","ARCH DRWING I: TACTL","A","Lect","50","69","72%","9.47","4.66","4.56","4.6","4.72","4.58","4.76","4.78","4.71","4.66","48130 - ARCH DRWING I: TACTL","48130 Fall"
"6611","Fall","2012","KAI GUTSCHOW","ARC","48200","ARCH DES STDIO COMP","1","Lect","30","45","67%","13.79","4.03","3.57","3.87","3.13","3.97","3.73","4","3.67","4","48200 - ARCH DES STDIO COMP","48200 Fall"
"6612","Fall","2012","ARTHUR LUBETZ","ARC","48200","ARCH DES STDIO COMP","A","Lect","12","12","100%","13.25","4.58","3.92","4.25","4.17","4.33","4.25","4","4.58","4.25","48200 - ARCH DES STDIO COMP","48200 Fall"
"6613","Fall","2012","JOSHUA BARD","ARC","48200","ARCH DES STDIO COMP","B","Lect","8","11","73%","13.63","4.78","4.67","4.67","4.89","5","4.88","5","4.75","4.75","48200 - ARCH DES STDIO COMP","48200 Fall"
"6614","Fall","2012","MARY-LOU ARSCOTT","ARC","48200","ARCH DES STDIO COMP","C","Lect","7","12","58%","14","4.43","3.43","3.86","3.29","4.14","3.71","3.86","3.86","4","48200 - ARCH DES STDIO COMP","48200 Fall"
"6615","Fall","2012","NICHOLAS LIADIS","ARC","48200","ARCH DES STDIO COMP","D","Lect","5","10","50%","14","4","3.2","3.6","3.2","4.2","3.8","3.2","4","4.2","48200 - ARCH DES STDIO COMP","48200 Fall"
"6616","Fall","2012","IRVING OPPENHEIM","ARC","48210","STATICS","A","Lect","32","44","73%","6.35","4.34","4.5","4.5","3.75","4.44","4.47","4.34","4.22","4.03","48210 - STATICS","48210 Fall"
"6617","Fall","2012","KAI GUTSCHOW","ARC","48241","SURV ARCHTL HSTY II","A","Lect","31","49","63%","7.81","4.16","3.61","3.68","3.4","3.97","3.65","4","3.45","3.39","48241 - SURV ARCHTL HSTY II","48241 Fall"
"6618","Fall","2012","JAMES ROBERTS","ARC","48257","CMPUT ARTS W/PROCESS","A","Lect","9","17","53%","7.67","4.89","5","5","4.89","4.78","5","5","5","4.78","48257 - CMPUT ARTS W/PROCESS","48257 Fall"
"6619","Fall","2012","CHRISTINE MONDOR","ARC","48300","ARCH DSGN STDIO ENVM","1","Lect","26","51","51%","14","4.65","4.27","4.35","4.5","4.46","4.5","4.85","4.46","4.19","48300 - ARCH DSGN STDIO ENVM","48300 Fall"
"6620","Fall","2012","KELLE BROOKS","ARC","48300","ARCH DSGN STDIO ENVM","A","Lect","7","12","58%","14","4","3.86","4.14","3.71","3.86","3.57","4.29","3.57","3.71","48300 - ARCH DSGN STDIO ENVM","48300 Fall"
"6621","Fall","2012","JENNIFER GALLAGHER","ARC","48300","ARCH DSGN STDIO ENVM","B","Lect","7","13","54%","14","4.57","4.57","4.43","4.29","4.14","4.57","4.86","4.29","4.14","48300 - ARCH DSGN STDIO ENVM","48300 Fall"
"6622","Fall","2012","LEE MINNERLY","ARC","48300","ARCH DSGN STDIO ENVM","C","Lect","5","13","38%","14","3","3.6","3.2","3","3.6","3","4","2.8","3.4","48300 - ARCH DSGN STDIO ENVM","48300 Fall"
"6623","Fall","2012","MATTHEW PLECITY","ARC","48300","ARCH DSGN STDIO ENVM","D","Lect","11","13","85%","14","4.91","4.82","4.82","4.82","4.73","4.73","4.82","4.91","4.82","48300 - ARCH DSGN STDIO ENVM","48300 Fall"
"6624","Fall","2012","VIVIAN LOFTNESS","ARC","48315","ENVIR I: CLIM & ENG","A","Lect","29","63","46%","8.43","3.93","3.5","3.46","3.68","4.21","3.14","4.21","3.36","3.36","48315 - ENVIR I: CLIM & ENG","48315 Fall"
"6625","Fall","2012","KELLY LYONS","ARC","48334","PUBC ARC ENC GRN BLD","A","Lect","4","6","67%","4.25","4.5","4","4.25","4.5","4","4","4.75","4.5","4","48334 - PUBC ARC ENC GRN BLD","48334 Fall"
"6626","Fall","2012","DIANE SHAW","ARC","48348","ARCTL HST MEXCO GUAT","A","Lect","11","19","58%","5.27","4.73","4.82","4.73","4.55","4.64","4.73","4.82","4.82","4.73","48348 - ARCTL HST MEXCO GUAT","48348 Fall"
"6627","Fall","2012","WILLIAM COOPER","ARC","48355","PERSPECTIVE","A","Lect","10","16","63%","8.6","4.5","4.3","4.5","4.4","3.9","4.1","4.5","4.4","4.2","48355 - PERSPECTIVE","48355 Fall"
"6628","Fall","2012","DIANE SHAW","ARC","48371","AMERN HSE & HOUSING","A","Lect","7","13","54%","6.29","4.86","4.43","4.71","4.14","4.29","4.57","5","4.71","4.14","48371 - AMERN HSE & HOUSING","48371 Fall"
"6629","Fall","2012","FRANCESCA TORELLO","ARC","48373","ISTANBUL CONSTANTPL","A","Lect","8","22","36%","6.5","4.63","3.75","4","4.25","4","3.75","4.63","3.75","3.63","48373 - ISTANBUL CONSTANTPL","48373 Fall"
"6630","Fall","2012","STEFANI DANES","ARC","48400","ARCH DSGN STDIO OCC","1","Lect","14","30","47%","14","3.85","3.31","3.31","4","3.85","3.46","4.15","3.77","4.08","48400 - ARCH DSGN STDIO OCC","48400 Fall"
"6631","Fall","2012","JEREMY FICCA","ARC","48400","ARCH DSGN STDIO OCC","A","Lect","4","7","57%","14","4.75","4.75","4.5","4.75","4.75","4.75","4.75","4.75","5","48400 - ARCH DSGN STDIO OCC","48400 Fall"
"6632","Fall","2012","JOHN FOLAN","ARC","48400","ARCH DSGN STDIO OCC","B","Lect","4","4","100%","14","5","4.75","4.75","5","5","4.75","4.25","5","5","48400 - ARCH DSGN STDIO OCC","48400 Fall"
"6633","Fall","2012","HAL HAYES","ARC","48400","ARCH DSGN STDIO OCC","C","Lect","6","10","60%","14","4.67","3.83","4","4.17","4.5","4","4.33","4.33","4.33","48400 - ARCH DSGN STDIO OCC","48400 Fall"
"6634","Fall","2012","MATTHEW MCNUTT","ARC","48400","ARCH DSGN STDIO OCC","D","Lect","6","9","67%","13.5","3.5","3.5","3.5","3.83","3.83","3.5","3","3.33","3.5","48400 - ARCH DSGN STDIO OCC","48400 Fall"
"6635","Fall","2012","BLOCK, R. (co-taught)","ARC","48408","THR DES SM ARC & DRM","A","Lect","10","19","53%","7.4","4","2.6","2.8","3.3","3.5","3.2","4.2","3.3","2.8","48408 - THR DES SM ARC & DRM","48408 Fall"
"6636","Fall","2012","HAYES, H. (co-taught)","ARC","48408","THR DES SM ARC & DRM","A","Lect","10","19","53%","8","3.7","2.2","2.6","3","3","2.8","3.5","2.7","2.6","48408 - THR DES SM ARC & DRM","48408 Fall"
"6637","Fall","2012","GERRY MATTERN","ARC","48412","ENVIR II MECHNL SYS","A","Lect","25","48","52%","3.25","4.3","2.61","3.13","3.55","3.83","3.52","4.57","3.3","2.96","48412 - ENVIR II MECHNL SYS","48412 Fall"
"6638","Fall","2012","DALE CLIFFORD","ARC","48431","BIO LGC RSPS BLD TCH","A","Lect","7","18","39%","8.43","4.43","4.14","4.14","3.71","4","3.86","4.86","4.14","4","48431 - BIO LGC RSPS BLD TCH","48431 Fall"
"6639","Fall","2012","BECKY MINGO","ARC","48452","REAL ESTATE DES DEV","A2","Lect","21","50","42%","5.14","3.33","3.14","3.14","3.19","3.48","3.1","3.76","3.05","3","48452 - REAL ESTATE DES DEV","48452 Fall"
"6640","Fall","2012","KELLY HUTZELL","ARC","48453","URBAN DESIGN METHODS","A1","Lect","11","48","23%","5.27","3.64","4.18","4","3.36","4.18","4.18","2.73","3.36","3.73","48453 - URBAN DESIGN METHODS","48453 Fall"
"6641","Fall","2012","SCOTT SMITH","ARC","48470","EXPLRG PTRN THR LAMN","A1","Lect","5","10","50%","8.6","4.8","4.4","4.6","5","4.2","4.8","5","4.6","4.8","48470 - EXPLRG PTRN THR LAMN","48470 Fall"
"6642","Fall","2012","SCOTT SMITH","ARC","48473","HND MCHN JNRY NEW DR","A2","Lect","6","10","60%","8","4.67","4.5","4.83","4.33","4.83","4.83","4.67","4.67","4.67","48473 - HND MCHN JNRY NEW DR","48473 Fall"
"6643","Fall","2012","NICHOLAS DURRANT","ARC","48477","UNG MKNG THNG INTACT","A","Lect","2","4","50%","5","3.5","3","3","4","3.5","3","4","2.5","2.5","48477 - UNG MKNG THNG INTACT","48477 Fall"
"6644","Fall","2012","PETER ALI","ARC","48478","DIGITAL TOOLING","A1","Lect","5","19","26%","5","4.67","4.67","4.83","5","4.67","4.5","5","4.67","4.67","48478 - DIGITAL TOOLING","48478 Fall"
"6645","Fall","2012","LUBETZ, A. (co-taught)","ARC","48497","THESIS I","A","Lect","8","26","31%","8","3.83","3","3.33","2.5","3.67","3.33","3.5","3.33","3.4","48497 - THESIS I","48497 Fall"
"6646","Fall","2012","ARSCOTT, M. (co-taught)","ARC","48497","THESIS I","A","Lect","8","26","31%","8","5","4.86","4.83","5","5","5","5","5","5","48497 - THESIS I","48497 Fall"
"6647","Fall","2012","CLIFFORD, D. (co-taught)","ARC","48497","THESIS I","A","Lect","8","26","31%","7.4","4.67","2.5","2.83","3.83","4.33","3.67","4","3.83","3.67","48497 - THESIS I","48497 Fall"
"6648","Fall","2012","RAMI EL SAMAHY","ARC","48500","ARCH DGN STD URB LAB","1","Lect","15","47","32%","13.6","4.6","4.07","4","4.47","4.33","4.33","4.53","4.33","4.07","48500 - ARCH DGN STD URB LAB","48500 Fall"
"6649","Fall","2012","KLINE, J. (co-taught)","ARC","48500","ARCH DGN STD URB LAB","A","Lect","11","24","46%","12.91","4.09","3.73","3.73","4.18","4","3.91","4.73","4","3.55","48500 - ARCH DGN STD URB LAB","48500 Fall"
"6650","Fall","2012","GRAZIANO, C. (co-taught)","ARC","48500","ARCH DGN STD URB LAB","A","Lect","11","24","46%","12.5","4.45","3.45","3.45","3.45","3.64","3.45","4.36","3.27","3.27","48500 - ARCH DGN STD URB LAB","48500 Fall"
"6651","Fall","2012","EL SAMAHY, R. (co-taught)","ARC","48500","ARCH DGN STD URB LAB","B","Lect","6","23","26%","13.5","4.67","4.17","4.17","4.67","4.67","4.67","4.67","4.67","4.5","48500 - ARCH DGN STD URB LAB","48500 Fall"
"6652","Fall","2012","PICKER, E. (co-taught)","ARC","48500","ARCH DGN STD URB LAB","B","Lect","6","23","26%","14","3.83","4.17","3.83","3.5","3.83","3.67","4","3.67","4.33","48500 - ARCH DGN STD URB LAB","48500 Fall"
"6653","Fall","2012","JOHN FOLAN","ARC","48510","UDBS: CONSTRCT ADM I","A","Lect","5","9","56%","11.6","5","4.4","4.8","4.8","5","4.8","4.6","4.8","4.4","48510 - UDBS: CONSTRCT ADM I","48510 Fall"
"6654","Fall","2012","JEREMY FICCA","ARC","48531","FABRICATNG CUSTOMZTN","A","Lect","2","8","25%","8","5","5","5","5","5","5","5","5","5","48531 - FABRICATNG CUSTOMZTN","48531 Fall"
"6655","Fall","2012","CHARLES ROSENBLUM","ARC","48534","ARCHTL THRY SNC 2000","A","Lect","4","7","57%","5.75","3","2.75","3.25","3","3.25","3.75","4.25","2.75","3.25","48534 - ARCHTL THRY SNC 2000","48534 Fall"
"6656","Fall","2012","JOHN FOLAN","ARC","48550","ISSUES OF PRACTICE","A","Lect","36","48","75%","13.06","4.83","4.61","4.67","4.64","4.97","4.64","4.64","4.77","4.75","48550 - ISSUES OF PRACTICE","48550 Fall"
"6657","Fall","2012","KRISTEN KURLAND","ARC","48568","ADV CAD BIM 3D VISLZ","A","Lect","8","18","44%","8.38","5","4.88","4.88","4.88","4.88","4.88","4.75","4.75","4.75","48568 - ADV CAD BIM 3D VISLZ","48568 Fall"
"6658","Fall","2012","RAMESH KRISHNAMURTI","ARC","48624","PARAMETRIC MODELING","A1","Lect","2","14","14%","8","3.5","4","4.5","4","4","4","4","4","3.5","48624 - PARAMETRIC MODELING","48624 Fall"
"6659","Fall","2012","STEPHEN QUICK","ARC","48705","ARCH DSGN STUD URBAN","1","Lect","5","5","100%","14","5","5","5","4.8","4.8","5","5","4.8","5","48705 - ARCH DSGN STUD URBAN","48705 Fall"
"6660","Fall","2012","DONALD CARTER","ARC","48707","MUD GRADUATE SEMINAR","A","Lect","5","5","100%","6.2","5","5","5","4.8","5","5","5","5","4.8","48707 - MUD GRADUATE SEMINAR","48707 Fall"
"6661","Fall","2012","OMER AKIN","ARC","48711","PARADGMS RESCH ARCH","A","Lect","8","18","44%","6.88","5","4.75","4.75","4.88","4.75","4.75","4.88","4.75","4.5","48711 - PARADGMS RESCH ARCH","48711 Fall"
"6662","Fall","2012","KHEE POH LAM","ARC","48722","BLDNG PERFMNC MODLNG","A","Lect","13","24","54%","11.25","4.54","4.54","4.62","4.69","4.77","4.46","4.69","4.62","4.69","48722 - BLDNG PERFMNC MODLNG","48722 Fall"
